Tanggal,Kategori,Fitur / Topik,Detail Perubahan
2026.01.26,Fitur Godmode & Manajemen Data Tingkat Lanjut,Godmode Force Delete (Pembelian),"Memberikan tanda ""Nerfed"" pada penjualan yang terkait dengan pembelian yang dihapus paksa."
2026.01.26,Fitur Godmode & Manajemen Data Tingkat Lanjut,Smart Delete Penjualan,"Pengguna Godmode kini dapat menghapus penjualan yang sudah ""Lunas"" dengan alur konfirmasi bertingkat."
2026.01.26,Fitur Godmode & Manajemen Data Tingkat Lanjut,Smart Delete Penjualan,"Menampilkan ringkasan dampak (*Impact Summary*) sebelum penghapusan, merinci item, pembayaran, dan transaksi tukar tambah yang akan terhapus."
2026.01.26,Fitur Godmode & Manajemen Data Tingkat Lanjut,Indikator Visual Godmode,"Menambahkan badge ""Godmode"" di top bar admin panel (sebelah pencarian global) sebagai pengingat visual status *super user*."
2026.01.26,Fitur Godmode & Manajemen Data Tingkat Lanjut,Perbaikan Integritas Data,"Memperbarui skema database (`tb_tukar_tambah`, `tb_penjualan_item`) agar kolom foreign key bersifat *nullable*, mencegah *crash* saat induk dihapus paksa."
2026.01.23,Perbaikan Harga Pokok & Upload Dokumen Pembelian,Fix Tampilan HPP,Memperbaiki masalah HPP yang tidak muncul pada saat edit *existing record* di tabel barang keluar (`TukarTambahResource`).
2026.01.23,Perbaikan Harga Pokok & Upload Dokumen Pembelian,Fix Tampilan HPP,Mengimplementasikan *hydration hook* untuk menarik data HPP dari item penjualan atau batch pembelian secara otomatis.
2026.01.23,Perbaikan Harga Pokok & Upload Dokumen Pembelian,Upload Foto Dokumen,"Menambahkan fitur upload foto dokumen umum (faktur, surat jalan) pada halaman *View* Pembelian."
2026.01.23,Perbaikan Harga Pokok & Upload Dokumen Pembelian,Upload Foto Dokumen,Foto tersimpan dalam format JSON dan ditampilkan pada bagian khusus di *Infolist*.
2026.01.22,Manajemen Serial Number & Pencarian,Pencarian Serial Number,"Kolom Serial Number pada tabel Pembelian kini dapat dicari (*searchable*), menelusuri data di dalam array JSON `serials`."
2026.01.22,Manajemen Serial Number & Pencarian,Input Serial Number Pembelian,"Mengimplementasikan UI input serial number pada repeater item pembelian, serupa dengan fitur di modul Penjualan."
2026.01.22,Manajemen Serial Number & Pencarian,Input Serial Number Pembelian,Modal input dinamis menyesuaikan jumlah field berdasarkan kuantitas item.
2026.01.18,Proteksi Penghapusan & Perbaikan Pembayaran Tukar Tambah,,Proteksi Penghapusan Record Tukar Tambah: Record Penjualan dan Pembelian yang dibuat oleh Tukar Tambah sekarang tidak bisa dihapus langsung. Harus dihapus melalui Tukar Tambah untuk menjaga integritas data.
2026.01.18,Proteksi Penghapusan & Perbaikan Pembayaran Tukar Tambah,,Proteksi Cascade Deletion: Sistem menggunakan flag statis untuk memungkinkan Tukar Tambah menghapus record terkait sambil memblokir penghapusan langsung dari resource lain.
2026.01.18,Proteksi Penghapusan & Perbaikan Pembayaran Tukar Tambah,,"Perbaikan Pencatatan Pembayaran Tukar Tambah: Pembayaran dari Tukar Tambah sekarang dicatat dengan benar di Penjualan dan Pembelian, termasuk tanggal pembayaran dan bukti transfer."
2026.01.18,Proteksi Penghapusan & Perbaikan Pembayaran Tukar Tambah,,"Perbaikan Status Pembayaran: Status pembayaran tidak lagi menampilkan ""Tempo"" untuk transaksi yang sudah dibayar penuh."
2026.01.18,Proteksi Penghapusan & Perbaikan Pembayaran Tukar Tambah,,Perbaikan Form Submission: Menghapus `dehydrated(false)` dari field `unified_pembayaran` yang mencegah data pembayaran terkirim ke backend.
2026.01.18,Proteksi Penghapusan & Perbaikan Pembayaran Tukar Tambah,,Perbaikan Tampilan Member: Nama member sekarang ditampilkan dengan benar di tabel Tukar Tambah melalui relasi `penjualan.member`.
2026.01.18,Proteksi Penghapusan & Perbaikan Pembayaran Tukar Tambah,,"Perbaikan ActionGroup: ActionGroup sekarang selalu muncul untuk record Tukar Tambah, menampilkan aksi View dan Edit (Delete disembunyikan)."
2026.01.18,Proteksi Penghapusan & Perbaikan Pembayaran Tukar Tambah,,Menambahkan static flag `$allowTukarTambahDeletion` pada model Penjualan dan Pembelian
2026.01.18,Proteksi Penghapusan & Perbaikan Pembayaran Tukar Tambah,,Menambahkan validasi di event `deleting` untuk memblokir penghapusan record Tukar Tambah
2026.01.18,Proteksi Penghapusan & Perbaikan Pembayaran Tukar Tambah,,TukarTambah mengatur flag sebelum menghapus record terkait (cascade deletion)
2026.01.18,Proteksi Penghapusan & Perbaikan Pembayaran Tukar Tambah,,Menggunakan try-finally untuk memastikan flag di-reset setelah penghapusan
2026.01.18,Proteksi Penghapusan & Perbaikan Pembayaran Tukar Tambah,,Menambahkan field `tanggal` dan `bukti_transfer` pada method pembayaran
2026.01.18,Proteksi Penghapusan & Perbaikan Pembayaran Tukar Tambah,,Menambahkan validasi untuk skip pembayaran dengan jumlah 0 atau kosong
2026.01.17,Penyempurnaan Form Member Penjualan,,"Dropdown Lokasi Indonesia: Form member di PenjualanResource sekarang menggunakan dropdown untuk Provinsi, Kota/Kabupaten, dan Kecamatan dengan data dari package `laravolt/indonesia`."
2026.01.17,Penyempurnaan Form Member Penjualan,,"Cascading Dropdown: Dropdown Kota bergantung pada Provinsi yang dipilih, dan dropdown Kecamatan bergantung pada Kota yang dipilih."
2026.01.17,Penyempurnaan Form Member Penjualan,,Searchable Location Fields: Semua field lokasi sekarang searchable untuk memudahkan pencarian.
2026.01.17,Penyempurnaan Form Member Penjualan,,"Auto-reset Child Fields: Saat Provinsi diubah, Kota dan Kecamatan otomatis di-reset. Saat Kota diubah, Kecamatan otomatis di-reset."
2026.01.17,Penyempurnaan Form Member Penjualan,,"Mengubah TextInput menjadi Select untuk field `provinsi`, `kota`, dan `kecamatan`"
2026.01.17,Penyempurnaan Form Member Penjualan,,"Menambahkan import untuk `Province`, `City`, dan `District` dari package `laravolt/indonesia`"
2026.01.17,Penyempurnaan Form Member Penjualan,,Implementasi reactive dropdown dengan `live()` dan `afterStateUpdated()`
2026.01.17,Penyempurnaan Form Member Penjualan,,Data lokasi di-cache di level query untuk performa optimal
2026.01.21,Fitur Lampiran Multi-Upload pada Komentar Tugas,,Multi-File Upload: Menambahkan kemampuan upload banyak file sekaligus pada sistem komentar tugas dengan akumulasi file (bukan replace).
2026.01.21,Fitur Lampiran Multi-Upload pada Komentar Tugas,,Thumbnail 64x64px: Gambar ditampilkan sebagai thumbnail kecil dengan ukuran konsisten 64x64 piksel.
2026.01.21,Fitur Lampiran Multi-Upload pada Komentar Tugas,,Konversi WebP Otomatis: Gambar yang diupload otomatis di-resize ke maksimal 1080p dan dikonversi ke format WebP dengan kualitas 80%.
2026.01.21,Fitur Lampiran Multi-Upload pada Komentar Tugas,,"Ikon Tipe File: Dokumen non-gambar (PDF, DOC, XLS, TXT, ZIP, dll.) ditampilkan dengan ikon sesuai ekstensinya."
2026.01.21,Fitur Lampiran Multi-Upload pada Komentar Tugas,,iOS-style Close Button: Tombol hapus lampiran bergaya iOS dengan lingkaran abu-abu dan ikon X di pojok kanan atas.
2026.01.21,Fitur Lampiran Multi-Upload pada Komentar Tugas,,Preview Upload: Menampilkan preview file sebelum dikirim dengan kemampuan hapus per-file.
2026.01.21,Fitur Lampiran Multi-Upload pada Komentar Tugas,,Loading Indicator: Menampilkan indikator loading saat proses upload berlangsung.
2026.01.21,Perbaikan Otorisasi Penjadwalan Tugas,,"Pembatasan Aksi Status: Tombol Proses, Selesai, dan Batal hanya dapat digunakan oleh Pemberi Tugas dan Ditugaskan Ke."
2026.01.21,Perbaikan Otorisasi Penjadwalan Tugas,,"Pembatasan Edit: Fitur edit tugas hanya tersedia untuk super_admin, Pemberi Tugas, dan Ditugaskan Ke."
2026.01.21,Perbaikan Otorisasi Penjadwalan Tugas,,Proteksi Halaman Edit: Menambahkan pengecekan otorisasi pada halaman edit dengan redirect dan notifikasi jika tidak memiliki izin.
2026.01.21,Perbaikan Otorisasi Penjadwalan Tugas,,Visibility Tombol Edit: Menyembunyikan tombol edit pada tabel dan halaman view untuk pengguna yang tidak berwenang.
2026.01.21,Perbaikan Filter Tabel,,"Clear Filter = Semua Data: Ketika filter di-clear, tabel sekarang menampilkan semua record (menghapus default ""Hari Ini"")."
2026.01.21,Perbaikan Filter Tabel,,"Placeholder ""Semua Tanggal"": Menambahkan placeholder pada dropdown filter rentang waktu."
2026.01.21,Peningkatan UI Dark Mode,,Warna Teks Komentar: Memperbaiki warna teks komentar pada dark mode menjadi lebih terang (`gray-200`).
2026.01.21,Dokumentasi,,Menambahkan `docs/multi_upload_attachment_feature.md` - Dokumentasi lengkap fitur multi-upload lampiran.
2026.01.21,Peningkatan UI/UX Tukar Tambah,Modal Serial Number & Garansi,Mengubah input serial number dari tampilan inline (nested table) menjadi modal popup untuk UI yang lebih bersih dan compact.
2026.01.21,Peningkatan UI/UX Tukar Tambah,Modal Serial Number & Garansi,"Menambahkan tombol ""Manage"" dengan ikon QR code yang menampilkan jumlah serial number (e.g., ""2 serials"")."
2026.01.21,Peningkatan UI/UX Tukar Tambah,Modal Serial Number & Garansi,"Modal berisi `Repeater` untuk menambah, mengedit, dan menghapus serial number (`sn` dan `garansi`) secara individual."
2026.01.21,Peningkatan UI/UX Tukar Tambah,Modal Serial Number & Garansi,Implementasi data transfer antara hidden field (`serials`) dan modal repeater (`serials_temp`) menggunakan `fillForm` dan `action` callbacks.
2026.01.21,Peningkatan UI/UX Tukar Tambah,Modal Serial Number & Garansi,Menambahkan `->button()` pada `FormAction` agar tombol menampilkan icon dan label secara bersamaan (bukan hanya icon).
2026.01.21,Peningkatan UI/UX Tukar Tambah,Modal Serial Number & Garansi,Known Issue: Count serial number belum update secara reactive setelah modal disimpan (ditunda untuk perbaikan masa depan).
2026.01.21,Peningkatan UI/UX Tukar Tambah,Modal Serial Number & Garansi,Perbaikan Penjualan (dari repository):
2026.01.21,Peningkatan UI/UX Tukar Tambah,Modal Serial Number & Garansi,Memperbaiki logika visibility tombol aksi pada tabel penjualan.
2026.01.21,Peningkatan UI/UX Tukar Tambah,Modal Serial Number & Garansi,Menyesuaikan kondisi hidden untuk action group berdasarkan status pembayaran dan keberadaan line items.
2026.01.21,Peningkatan UI/UX Tukar Tambah,Refactoring Email Invoice,Menyesuaikan sintaks anonymous function pada `InvoicePenjualanMail.php` untuk konsistensi kode.
2026.01.21,Peningkatan UI/UX Tukar Tambah,Refactoring Email Invoice,Mengurutkan ulang import statements sesuai standar PSR-12.
2026.01.21,Peningkatan UI/UX Tukar Tambah,Refactoring Email Invoice,Dokumentasi: Menambahkan dokumentasi teknis lengkap untuk implementasi modal serial number (`docs/2026-01-15_modal_serial_number_tukar_tambah.md`).
2026.01.14,Perbaikan & Peningkatan Penjadwalan Tugas,Optimasi Upload Gambar RichEditor,Memperbaiki error `BadMethodCallException` pada upload gambar di deskripsi tugas.
2026.01.14,Perbaikan & Peningkatan Penjadwalan Tugas,Optimasi Upload Gambar RichEditor,"Mengimplementasikan standarisasi upload: Resize otomatis ke 1080p, konversi ke WebP, dan kompresi 80% quality."
2026.01.14,Perbaikan & Peningkatan Penjadwalan Tugas,Optimasi Upload Gambar RichEditor,Menyimpan file secara terpusat di disk `public`.
2026.01.14,Perbaikan & Peningkatan Penjadwalan Tugas,Filter Canggih Penjadwalan Tugas,"Tab Status Filter: Menambahkan tab navigasi cepat untuk memfilter tugas berdasarkan status: Proses (termasuk Pending), Selesai, Batal, dan Semua."
2026.01.14,Perbaikan & Peningkatan Penjadwalan Tugas,Filter Canggih Penjadwalan Tugas,"Filter Periode: Menambahkan filter rentang waktu (Hari Ini, Kemarin, 2 Hari Lalu, 3 Hari Lalu, Custom) di dalam menu filter tabel."
2026.01.14,Perbaikan & Peningkatan Penjadwalan Tugas,Filter Canggih Penjadwalan Tugas,Memastikan integrasi ikon yang intuitif pada setiap tab filter.
2026.01.14,Perbaikan & Peningkatan Penjadwalan Tugas,Filter Canggih Penjadwalan Tugas,Dokumentasi: Update panduan teknis upload gambar RichEditor (`docs/rich-editor-image-standard.md`) dengan kode yang terverifikasi.
2026.01.14,Perbaikan & Peningkatan Penjadwalan Tugas,Fitur Edit Absensi (Admin),Mengaktifkan fitur Edit pada tabel Absensi khusus untuk role `super_admin` dan `admin`.
2026.01.14,Perbaikan & Peningkatan Penjadwalan Tugas,Fitur Edit Absensi (Admin),Modal Edit: Menggunakan modal box (bukan halaman terpisah) untuk pengeditan cepat.
2026.01.14,Perbaikan & Peningkatan Penjadwalan Tugas,Fitur Edit Absensi (Admin),"Field Fleksibel: Memungkinkan pengubahan Tanggal, Jam Masuk, Jam Keluar, dan Keterangan."
2026.01.14,Perbaikan & Peningkatan Penjadwalan Tugas,Fitur Edit Absensi (Admin),"Keamanan: Menambahkan konfirmasi ""Alasan Perubahan"" yang wajib diisi dan proteksi `visible()` berbasis role."
2026.01.13,Peningkatan UI/UX Lembur & Filter Absensi,Redesign UI Lembur (`LemburResource`),Mengubah layout Form dan Infolist menjadi Standard Enterprise Card Layout yang lebih profesional dan rapi.
2026.01.13,Peningkatan UI/UX Lembur & Filter Absensi,Redesign UI Lembur (`LemburResource`),"Mengganti gaya tombol aksi menjadi Solid Colors (""Buat Lembur"" biru, ""Selesai"" hijau, ""Terima"" hijau, ""Tolak"" merah) untuk kejelasan visual."
2026.01.13,Peningkatan UI/UX Lembur & Filter Absensi,Redesign UI Lembur (`LemburResource`),Menyederhanakan tombol Edit & Delete menjadi gaya minimalis berwarna netral (gray/white).
2026.01.13,Peningkatan UI/UX Lembur & Filter Absensi,Redesign UI Lembur (`LemburResource`),"Menambahkan kolom preview gambar (square) pada tabel list untuk ""Bukti""."
2026.01.13,Peningkatan UI/UX Lembur & Filter Absensi,Fitur Upload Bukti Lembur,"Menambahkan kolom upload gambar ""Bukti"" dengan konversi otomatis ke format WebP dan *resize* (max Full HD) untuk optimasi penyimpanan."
2026.01.13,Peningkatan UI/UX Lembur & Filter Absensi,Fitur Upload Bukti Lembur,"Memperbaiki validasi upload agar menerima `jpeg`, `png`, dan `webp` dengan benar."
2026.01.13,Peningkatan UI/UX Lembur & Filter Absensi,Logika & Workflow,Menambahkan fitur Redirect otomatis ke halaman *List* setelah berhasil membuat record baru (Create -> Redirect -> List).
2026.01.13,Peningkatan UI/UX Lembur & Filter Absensi,Logika & Workflow,"Mengimplementasikan logika tombol dinamis pada header list: Tombol ""Selesai Lembur"" hanya muncul jika user memiliki lembur aktif hari ini."
2026.01.13,Peningkatan UI/UX Lembur & Filter Absensi,Logika & Workflow,Menambahkan validasi tombol Approval (Terima/Tolak) yang hanya muncul untuk Admin pada status Pending.
2026.01.13,Peningkatan UI/UX Lembur & Filter Absensi,Filter Absensi,"Menambahkan filter tanggal canggih pada `AbsensiResource` dengan opsi preset: Hari Ini (Default), Kemarin, 2 Hari Lalu, 3 Hari Lalu, dan Custom Range."
2026.01.13,Peningkatan UI/UX Lembur & Filter Absensi,Filter Absensi,Menambahkan indikator visual (badge) pada filter aktif.
2026.01.13,Peningkatan UI/UX Lembur & Filter Absensi,Peningkatan Penjadwalan Tugas,Multi-Assignee: Mengubah sistem penugasan dari 1 karyawan menjadi Banyak Karyawan sekaligus (Many-to-Many).
2026.01.13,Peningkatan UI/UX Lembur & Filter Absensi,Peningkatan Penjadwalan Tugas,"Selector Durasi Cerdas: Menambahkan pilihan cepat durasi (1 Hari, 2 Hari, 3 Hari) yang otomatis mengatur tanggal dan menyembunyikan input manual."
2026.01.13,Peningkatan UI/UX Lembur & Filter Absensi,Peningkatan Penjadwalan Tugas,"Validasi Server-Side: Memastikan logika tanggal tersimpan akurat (Today -> Today) menggunakan *mutation hooks*, mencegah bug pada input tersembunyi."
2026.01.13,Peningkatan UI/UX Lembur & Filter Absensi,Peningkatan Penjadwalan Tugas,"Tombol Status Cepat: Menambahkan tombol aksi Proses, Selesai, dan Batal pada halaman detail tugas untuk mempercepat workflow status."
2026.01.13,Peningkatan UI/UX Lembur & Filter Absensi,Peningkatan Penjadwalan Tugas,Sistem Komentar Native: Menambahkan fitur diskusi interaktif pada detail tugas.
2026.01.13,Peningkatan UI/UX Lembur & Filter Absensi,Peningkatan Penjadwalan Tugas,Indikator Pesan Baru: Badge notifikasi (Hijau) pada list tugas jika ada komentar yang belum dibaca.
2026.01.13,Peningkatan UI/UX Lembur & Filter Absensi,Peningkatan Penjadwalan Tugas,Integrasi Notifikasi: Notifikasi in-app kepada Creator & Assignees saat ada komentar baru.
2026.01.13,Peningkatan UI/UX Lembur & Filter Absensi,Smart Navigation Badge,Indikator personal (hanya untuk tugas terkait).
2026.01.13,Peningkatan UI/UX Lembur & Filter Absensi,Smart Navigation Badge,Split Info: New 🆕 (Belum dilihat) dan Chat 💬 (Komentar baru).
2026.01.13,Peningkatan UI/UX Lembur & Filter Absensi,Smart Navigation Badge,Optimasi Performa: Eager Loading untuk mencegah N+1 Query pada indikator diskusi.
2026.01.13,Peningkatan UI/UX Lembur & Filter Absensi,Smart Navigation Badge,Terintegrasi langsung di halaman View (Infolist).
2026.01.13,Peningkatan UI/UX Lembur & Filter Absensi,Smart Navigation Badge,Keamanan akses: Hanya Creator dan Assignee yang bisa berkomentar.
2026.01.13,Peningkatan UI/UX Lembur & Filter Absensi,Smart Navigation Badge,Menggunakan teknologi Livewire untuk pengalaman pengguna yang responsif.
2026.01.13,Peningkatan UI/UX Lembur & Filter Absensi,Kompatibilitas iPhone,Menambahkan dukungan format HEIC/HEIF pada upload bukti lembur.
2026.01.12,,,Menambahkan My Profile dengan fitur upload avatar yang tersinkronisasi.
2026.01.12,,,Perbaikan Upload Avatar: Memindahkan penyimpanan ke disk `public` untuk mengatasi error 403 Forbidden.
2026.01.12,,,Refactoring User Model: Menggunakan observer untuk sinkronisasi otomatis avatar antara tabel `users` dan `karyawan`.
2026.01.12,,,Migrasi Database: Menambahkan kolom `avatar_url` pada tabel `users`.
2026.01.12,,,Konfigurasi Plugin: Memaksa `edit-profile` plugin menggunakan disk `public`.
2026.01.12,,,Dokumentasi teknis perbaikan tersedia di `/docs/perbaikan_sinkronisasi_avatar.md`.
2026.01.11,Integrasi Gudang & Absensi Berbasis Lokasi,Manajemen Lokasi Gudang (`GudangResource`),Mengimplementasikan Interactive Map Picker (Leaflet/OSM) untuk pemilihan lokasi visual.
2026.01.11,Integrasi Gudang & Absensi Berbasis Lokasi,Manajemen Lokasi Gudang (`GudangResource`),Menambahkan fitur Reverse Geocoding otomatis dan dropdown wilayah Indonesia (Provinsi s/d Kelurahan).
2026.01.11,Integrasi Gudang & Absensi Berbasis Lokasi,Manajemen Lokasi Gudang (`GudangResource`),Menambahkan pengaturan Radius (km) untuk toleransi jarak absensi.
2026.01.11,Integrasi Gudang & Absensi Berbasis Lokasi,Manajemen Karyawan (`UserResource`),Menggabungkan fungsionalitas `KaryawanResource` ke dalam `UserResource` untuk manajemen terpusat.
2026.01.11,Integrasi Gudang & Absensi Berbasis Lokasi,Manajemen Karyawan (`UserResource`),Menambahkan fitur Penugasan Gudang (`gudang_id`) untuk menetapkan lokasi kerja karyawan.
2026.01.11,Integrasi Gudang & Absensi Berbasis Lokasi,Manajemen Karyawan (`UserResource`),"Memperbaiki tombol ""Tambah Karyawan"" agar tampil inline di header halaman list."
2026.01.11,Integrasi Gudang & Absensi Berbasis Lokasi,Manajemen Karyawan (`UserResource`),Fix Foto Profil: Memperbaiki masalah gambar tidak tampil saat edit dengan menambahkan `visibility('public')` dan logika ekstraksi path JSON yang robust.
2026.01.11,Integrasi Gudang & Absensi Berbasis Lokasi,Validasi Absensi Geofencing,Mengimplementasikan validasi lokasi ketat pada `AbsensiResource` menggunakan koordinat gudang yang ditugaskan.
2026.01.11,Integrasi Gudang & Absensi Berbasis Lokasi,Validasi Absensi Geofencing,Menggunakan formula Haversine untuk perhitungan jarak akurat dan menolak absensi di luar radius gudang.
2026.01.11,Integrasi Gudang & Absensi Berbasis Lokasi,Perbaikan Sistem,Mengatasi masalah routing `MethodNotAllowedHttpException` pada login dengan pembersihan cache menyeluruh.
2026.01.11,Integrasi Gudang & Absensi Berbasis Lokasi,Perbaikan Sistem,Mengoptimalkan struktur navigasi dengan menyembunyikan resource karyawan yang redundan.
2026.01.11,Integrasi Gudang & Absensi Berbasis Lokasi,Perbaikan Sistem,"Fix Navigasi Filament Shield: Memperbaiki menu Roles yang tersangkut di grup ""Master Data"". Masalah disebabkan oleh file terjemahan Indonesia (`resources/lang/vendor/filament-shield/id/filament-shield.php`) yang meng-override konfigurasi utama. Solusi: update file lang ke 'Pengaturan'."
2026.01.09,Peningkatan Modul Penjadwalan Service (Service Center),Fitur Crosscheck & Kelengkapan Unit,"Mengimplementasikan sistem input checklist bertingkat (Parent-Child). Jika item induk dicentang, sub-item akan muncul."
2026.01.09,Peningkatan Modul Penjadwalan Service (Service Center),Fitur Crosscheck & Kelengkapan Unit,"Memisahkan atribut menjadi 4 kategori tab: Crosscheck (Fisik), Aplikasi, Game, dan OS."
2026.01.09,Peningkatan Modul Penjadwalan Service (Service Center),Fitur Crosscheck & Kelengkapan Unit,"Menambahkan halaman manajemen master data terpusat ""Atribut Crosscheck"" di bawah menu Penerimaan Service."
2026.01.09,Peningkatan Modul Penjadwalan Service (Service Center),Import Data Pelanggan,"Menambahkan fitur ""Import dari Nota Penjualan"" pada form service. User dapat mencari nomor nota, dan sistem otomatis mengisi data pelanggan (Nama, HP, Alamat) tanpa mengetik ulang."
2026.01.09,Peningkatan Modul Penjadwalan Service (Service Center),Pencetakan Dokumen (Print Views),"Pemisahan Dokumen: Memisahkan ""Cetak Invoice"" (Tanda Terima untuk customer) dan ""Cetak Checklist"" (Lembar kerja teknisi/detail)."
2026.01.09,Peningkatan Modul Penjadwalan Service (Service Center),Pencetakan Dokumen (Print Views),"Cetak Checklist: Layout khusus A4 yang menampilkan seluruh detail item yang dicentang (Apps, Game, Kondisi fisik) dengan tampilan grid yang rapi."
